El Comtat;28.549;;;
L'Alcoià;112.134;;;
L'Alt Vinalopó / Alto Vinalopó;53.734;;;
El Vinalopó Mitjà / El Vinalopó Medio;173.100;;;
La Marina Alta;201.840;;;
La Marina Baixa;196.614;;;
L'Alacantí;481.589;;;
El Baix Vinalopó;292.991;;;
El Baix Segura / La Vega Baja;403.359;;;
Els Ports;5.092;4.810;5,50%;5.130
L'Alt Maestrat;7.715;7.260;5,90%;8.035
El Baix Maestrat;85.778;;;
L'Alcalatén;16.536;;;
La Plana Alta;263.357;;;
La Plana Baixa;195.970;;;
El Alto Palancia;25.602;;;
El Alto Mijares;4.514;4.147;8,10%;4.070
El Rincón de Ademuz;2.638;2.461;6,70%;4.070
Los Serranos;17.868;;;
El Camp de Túria;154.428;;;
El Camp de Morvedre;90.178;;;
L'Horta Nord;225.090;;;
L'Horta Oest;351.524;;;
València.;797.028;;;
L'Horta Sud;173.782;;;
La Plana de Utiel-Requena;40.701;;;
La Hoya de Buñol;43.782;;;
El Valle de Cofrentes-Ayora;10.468;;;
La Ribera Alta;224.171;;;
La Ribera Baixa;82.423;;;
La Canal de Navarrés;18.001;;;
La Costera;74.084;;;
La Vall d'Albaida;92.106;;;
La Safor;"182.520
";;;
;2.012;2014;dif 12-14;2004
